model,scenario_id,category,group,n_user_turns,n_tokens,bos_first,final_token_id,final_token,act_norm,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,pain_axis_z
Qwen_2.5_7B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,23,False,5669,]:,49.04453659057617,-1.8539100885391235,-2.498697280883789,-0.1997511088848114,0.5051555633544922,3.984485387802124,1.4072538614273071,-1.7187252044677734,3.2045774459838867,-1.7867788076400757,0.29140543937683105,-0.14254863479007415,-0.09497523532009165,0.6738443270668086,1.0873986741215382,-0.31420737103763674,0.08057548397250144,0.03295235617939373,-0.5192298176916139,0.43269006057093845,-0.5880132288462541,-0.1187619350550829
Qwen_2.5_7B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,30,False,5669,]:,49.973976135253906,-1.8339943885803223,-2.1845526695251465,0.16993150115013123,0.28016138076782227,4.437477111816406,1.6590023040771484,-1.3036878108978271,3.5079188346862793,-1.63930082321167,0.11812448501586914,-0.09671985981516017,0.3247055267083114,1.3009832538569903,0.8412924127880267,0.5343783408856209,0.6913146476874487,0.5416137515701085,-0.17393658649697727,0.6321638503076839,-1.0668253739023832,0.1139928334465756
Qwen_2.5_7B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,20,False,5669,]:,50.02425765991211,-1.5475724935531616,-1.9619076251983643,-0.07143056392669678,-0.1579451560974121,4.942577362060547,2.0585672855377197,-1.405762791633606,3.6580944061279297,-2.08701229095459,0.9421885013580322,0.5623764612904053,0.6221476552261108,0.891530544015333,0.3620766365661617,1.480578531140147,1.660655232512558,0.41651272949366946,-0.0029918679690915835,0.026604291534113485,1.2102388353956954,0.5922620582582581
Qwen_2.5_7B_base,jailbreak_04,jailbreak_pressure,harm_to_model,1,19,False,5669,]:,48.333736419677734,-1.270495891571045,-1.881719708442688,-0.6650272607803345,-0.9093604683876038,3.9215049743652344,1.6457533836364746,-1.5023057460784912,3.4476635456085205,-2.2915992736816406,0.5701203346252441,1.1999679729781787,0.7292745158905203,-0.11546190114133854,-0.459846895368963,-0.43218806724099407,0.6591729013278983,0.298191646420461,-0.24252512811085736,-0.2501132194458543,0.18213532755534978,0.9646212444343495
Qwen_2.5_7B_base,jailbreak_05,jailbreak_pressure,harm_to_model,1,27,False,5669,]:,50.65483474731445,-2.253386974334717,-2.612009286880493,-0.6111181378364563,-0.6176245212554932,3.8259472846984863,1.1343457698822021,-2.2898852825164795,3.6253199577331543,-2.366539478302002,-0.2728003263473511,-1.0618000969369055,-0.24635414587339993,-0.02400910193060987,-0.14073623028491172,-0.6111955100194464,-0.581496772947594,-0.6670498286665407,-0.040298993235656326,-0.3514748340435066,-2.147033802894366,-0.6540771214051527
Qwen_2.5_7B_base,jailbreak_06,jailbreak_pressure,harm_to_model,1,29,False,5669,]:,48.5815315246582,-1.5787076950073242,-1.7748980522155762,-0.5298082232475281,-0.40818119049072266,3.969574451446533,1.7272398471832275,-1.5388153791427612,3.282606601715088,-1.9645448923110962,0.42553138732910156,0.49073006451835244,0.8719826587825502,0.11392709303371895,0.08835998235116366,-0.3421399068257574,0.8568582338638125,0.2534461820661876,-0.4304092995781111,0.19224959934938052,-0.2173946973200818,0.6813563616504513
Qwen_2.5_7B_base,jailbreak_07,jailbreak_pressure,harm_to_model,1,22,False,5669,]:,48.40553283691406,-1.7194271087646484,-2.478855848312378,-1.0449633598327637,-1.2141013145446777,3.749380588531494,1.1762733459472656,-1.8207226991653442,3.95497989654541,-2.424168825149536,0.07573223114013672,0.16691526709586743,-0.0684681196790138,-0.759995105951992,-0.7931827597059802,-0.754627279149141,-0.47978089946277414,-0.09205370058324755,0.3349526199874495,-0.4294223613323108,-1.183964190957377,0.04922357370842682
Qwen_2.5_7B_base,jailbreak_08,jailbreak_pressure,harm_to_model,1,27,False,5669,]:,50.61144256591797,-2.0423898696899414,-2.7762320041656494,-0.5552999973297119,-0.3911350965499878,4.330570220947266,1.1140505075454712,-1.6606777906417847,3.4857707023620605,-2.2473502159118652,-0.06251108646392822,-0.576266630921292,-0.4657471026219902,0.07068220294173584,0.1070055775477331,0.33411053181008143,-0.6307328731452464,0.10409408695593307,-0.19914778569359895,-0.19026342369615595,-1.5659598908644319,-0.5210068667716411
Qwen_2.5_7B_base,jailbreak_09,jailbreak_pressure,harm_to_model,1,21,False,5669,]:,50.12167739868164,-1.8483142852783203,-2.3516480922698975,-0.8121695518493652,-0.5768592357635498,3.670560359954834,1.4226820468902588,-1.7179133892059326,3.413597822189331,-2.051786422729492,0.578571081161499,-0.12967191898426542,0.10147478579034863,-0.365077804085105,-0.09614577959292209,-0.9022805722114448,0.11800410513139441,0.03394730046702896,-0.28130211058170324,0.07424962286177726,0.20548653825979316,-0.014098566596958392
Qwen_2.5_7B_base,jailbreak_10,jailbreak_pressure,harm_to_model,1,22,False,5669,]:,49.6991081237793,-1.5224761962890625,-1.666911244392395,-0.07992786169052124,-0.1662958860397339,4.6081695556640625,2.0306921005249023,-0.7366136908531189,3.412288188934326,-1.8038153648376465,0.45046162605285645,0.6201265058481751,1.0162473832361807,0.8771155132414544,0.35294232517249285,0.8541351075187729,1.5930303169264586,1.2366082693190033,-0.2827928649434308,0.4096469830469435,-0.14850714343913612,0.8181869445421779
