outcome,condition,group,est,ci_lo,ci_hi
proj_pain,assistant_next,harm_to_model,0.38599736724911976,0.27434167307958357,0.5049684664314354
proj_pain,assistant_next,user_suffering,-0.6697479415597211,-0.8013822603730748,-0.5340605904919139
proj_pain,assistant_next,neutral,-0.1794462663883418,-0.2655918869302307,-0.09343247000535287
proj_pain,user_next,harm_to_model,2.0452586718221544,1.959884036255032,2.1331429994620392
proj_pain,user_next,user_suffering,1.191119502665125,1.0748692715670718,1.3068966830872446
proj_pain,user_next,neutral,1.570026053972482,1.4594483225718042,1.681272106481358
proj_pain,moderator_next,harm_to_model,-0.6338958340879884,-0.7124066687115864,-0.5546831835888945
proj_pain,moderator_next,user_suffering,-1.5285355050509588,-1.6446503956669707,-1.4166232767064526
proj_pain,moderator_next,neutral,-1.0880029780239864,-1.1859925622669636,-0.9917086923561107
z_S1,assistant_next,harm_to_model,0.2934442569025078,0.17451403051214978,0.4192922442652758
z_S1,assistant_next,user_suffering,-0.7342667922420403,-0.8820243773450179,-0.5864355462265851
z_S1,assistant_next,neutral,0.08868942705652377,-0.03328099466379352,0.20890474231078446
z_S1,user_next,harm_to_model,1.2390098523367268,1.119168134059718,1.3606121688880737
z_S1,user_next,user_suffering,0.4305383734345466,0.2777760303036754,0.5822410084049429
z_S1,user_next,neutral,1.0836436791373742,0.9470419812075341,1.2223245973019683
z_S1,moderator_next,harm_to_model,-1.5060615617156967,-1.615876001470339,-1.3930640156369856
z_S1,moderator_next,user_suffering,-2.3398104538425106,-2.4973638361102766,-2.182384557740842
z_S1,moderator_next,neutral,-1.609163187319397,-1.7486605389106047,-1.4736376579092556
z_S2,assistant_next,harm_to_model,0.4785504775957317,0.36070343053032516,0.6052421025796341
z_S2,assistant_next,user_suffering,-0.6052290908774023,-0.7388156163690394,-0.4647691845956785
z_S2,assistant_next,neutral,-0.44758195983320737,-0.5217811649208696,-0.3743477425861318
z_S2,user_next,harm_to_model,2.8515074913075824,2.7706978377126705,2.9331741875311645
z_S2,user_next,user_suffering,1.9517006318957038,1.8414380872841205,2.0581329485826645
z_S2,user_next,neutral,2.05640842880759,1.9444764891707331,2.1686003304252672
z_S2,moderator_next,harm_to_model,0.23826989353971958,0.17504708243903688,0.30226877767179955
z_S2,moderator_next,user_suffering,-0.7172605562594062,-0.8145602854601799,-0.6216407208076937
z_S2,moderator_next,neutral,-0.5668427687285766,-0.6548222244747192,-0.48022087315338285
proj_S1,assistant_next,harm_to_model,-1.664441711523316,-1.7161249325153503,-1.609752255867828
proj_S1,assistant_next,user_suffering,-2.111051617860794,-2.175262274444103,-2.0468089506328107
proj_S1,assistant_next,neutral,-1.753421522974968,-1.8064259143024683,-1.7011798440217973
proj_S1,user_next,harm_to_model,-1.2535295564342628,-1.305608882252127,-1.2006851316802205
proj_S1,user_next,user_suffering,-1.6048650527000428,-1.6712506148815156,-1.5389400053322315
proj_S1,user_next,neutral,-1.3210466587543488,-1.3804093284159897,-1.2607804273813963
proj_S1,moderator_next,harm_to_model,-2.4464486051689494,-2.4941704007983208,-2.3973435347188605
proj_S1,moderator_next,user_suffering,-2.808768845796585,-2.8772364382743834,-2.740356654673815
proj_S1,moderator_next,neutral,-2.491253229379654,-2.5518742562532424,-2.4323582276701927
proj_S2,assistant_next,harm_to_model,-2.0693947526541625,-2.1576070753281766,-1.9745619776167653
proj_S2,assistant_next,user_suffering,-2.8806387794017794,-2.9806326102614404,-2.775500000923872
proj_S2,assistant_next,neutral,-2.7626348078250884,-2.8181753104031086,-2.7078166298270223
proj_S2,user_next,harm_to_model,-0.2931597514586015,-0.3536483883451332,-0.23202959047122437
proj_S2,user_next,user_suffering,-0.9666942608356476,-1.0492293383479119,-0.8870262326896191
proj_S2,user_next,neutral,-0.8883170914649964,-0.9721017650961875,-0.8043378278911114
proj_S2,moderator_next,harm_to_model,-2.249252533912659,-2.296576850915497,-2.2013473011688753
proj_S2,moderator_next,user_suffering,-2.96449795126915,-3.0373299425840377,-2.892923414707184
proj_S2,moderator_next,neutral,-2.8519053769111635,-2.917760842382908,-2.787066089093685
z_fear,assistant_next,harm_to_model,0.5006850455510494,0.3973065968345919,0.6105727951627888
z_fear,assistant_next,user_suffering,-0.18318929391865135,-0.33718682945649553,-0.024834781651845644
z_fear,assistant_next,neutral,-0.9183178062936573,-1.0043667393583995,-0.832096063693129
z_fear,user_next,harm_to_model,1.8841486310327442,1.7948888649496029,1.974498204781322
z_fear,user_next,user_suffering,1.5436869441046335,1.3985398743175315,1.6814557173577074
z_fear,user_next,neutral,0.8981872217235233,0.7726523313640022,1.027639219274083
z_fear,moderator_next,harm_to_model,-0.5627361199168609,-0.633567801307198,-0.4935093244284903
z_fear,moderator_next,user_suffering,-0.9970762118587808,-1.1115921023584892,-0.8857860883979022
z_fear,moderator_next,neutral,-1.1797935476183112,-1.2814866664850435,-1.0810690754231118
z_negemo,assistant_next,harm_to_model,0.47945714714737986,0.36691683904022737,0.603272134699772
z_negemo,assistant_next,user_suffering,-0.19037115207088737,-0.35113320605664816,-0.025838897675586482
z_negemo,assistant_next,neutral,-0.8644345716533482,-0.9313567004408428,-0.7979059394388149
z_negemo,user_next,harm_to_model,1.4581962861662594,1.3812698875372507,1.5386015821782533
z_negemo,user_next,user_suffering,0.902017420162032,0.787464976786857,1.0114907612163062
z_negemo,user_next,neutral,0.4571182592782181,0.3769621269540078,0.5377684106522487
z_negemo,moderator_next,harm_to_model,1.1126643287863014,1.0470302222991368,1.1781076380961644
z_negemo,moderator_next,user_suffering,0.7501625092823515,0.6683058390008687,0.8303573226137738
z_negemo,moderator_next,neutral,0.3165928108144536,0.24514943820537352,0.3864971825444539
z_sadness,assistant_next,harm_to_model,-0.14970687743231603,-0.2708528810080921,-0.028713066193561638
z_sadness,assistant_next,user_suffering,-0.011103724760820452,-0.18347090628588975,0.16532868160241937
z_sadness,assistant_next,neutral,0.34045885511191537,0.19874443565585617,0.48243083852086416
z_sadness,user_next,harm_to_model,-2.5867513665008914,-2.806301332237112,-2.3615952301789336
z_sadness,user_next,user_suffering,-2.8260680399972613,-3.142038158862139,-2.4956840791178023
z_sadness,user_next,neutral,-4.144775306300463,-4.395706483420775,-3.900136628910553
z_sadness,moderator_next,harm_to_model,-4.358209305931243,-4.514567676339999,-4.192265830059965
z_sadness,moderator_next,user_suffering,-4.6165541977938656,-4.83468971326567,-4.389749812080196
z_sadness,moderator_next,neutral,-4.646121073225813,-4.842340218976387,-4.4493844199793005
cos_pain,assistant_next,harm_to_model,0.3780160113447226,0.2682035305766951,0.49549009691113055
cos_pain,assistant_next,user_suffering,-0.7263788659439575,-0.8474935369631436,-0.6035505012629319
cos_pain,assistant_next,neutral,-0.10525635901443342,-0.19063129370318185,-0.019587812482020805
cos_pain,user_next,harm_to_model,2.1347243434758743,2.0431060332957136,2.2287492672725673
cos_pain,user_next,user_suffering,1.2020797616487338,1.0803270159193958,1.3216283445527548
cos_pain,user_next,neutral,1.673491518274133,1.557090939086229,1.7916495919230517
cos_pain,moderator_next,harm_to_model,-0.6860845051020368,-0.7660488565979168,-0.6059941585917854
cos_pain,moderator_next,user_suffering,-1.5578267026936459,-1.6675728475498508,-1.4519634485844315
cos_pain,moderator_next,neutral,-1.1578295378891723,-1.2569129637302126,-1.0594694924064971
act_norm,assistant_next,harm_to_model,48.90114810250022,48.59201565915888,49.19073259873824
act_norm,assistant_next,user_suffering,49.62764225006104,49.23820802783966,49.993997166633605
act_norm,assistant_next,neutral,50.77718914031983,50.57561858749389,50.97653420829773
act_norm,user_next,harm_to_model,48.58889435854825,48.23242712757804,48.92515891682018
act_norm,user_next,user_suffering,48.75617576599121,48.306668835639954,49.18874087619781
act_norm,user_next,neutral,49.766061248779295,49.55570957660675,49.98097225952149
act_norm,moderator_next,harm_to_model,49.97252944599499,49.83565950090235,50.101256814436475
act_norm,moderator_next,user_suffering,50.72270919799805,50.501437280654905,50.938540424346925
act_norm,moderator_next,neutral,50.06134693145752,49.8978094587326,50.22579042911529
