layer,baseline_gap,label_effect,I,I_lo,I_hi,I_p,frac_of_strong,I_moderator,label_effect_moderator,perspective_gap_S2,perspective_gap_S1,auc_S2_1P
0,-0.0210816067678197,0.3244067043514577,-0.0015723361876476827,-0.047288230533755395,0.04414355815846003,0.9223901098901099,,-0.003190491870289691,-0.37809734034373726,0.5085878135210729,0.4659618963555828,0.8553
1,0.7395615970304785,0.2642996230399593,0.16509045865783792,0.08500832264307315,0.2451725946726027,0.003205128205128205,0.11161373124342629,0.27482738341513047,1.273689609182704,0.27311927494497934,0.21557386299419695,0.8841
2,0.6346403259106415,-2.2849071994048655,0.0999644625404077,-0.1382935499751771,0.33822247505599246,0.49404761904761907,0.07875678432265497,0.30481393222236963,0.6088812890367723,0.5031792242061347,0.41045156050403864,0.8707
3,0.5757347630834948,-0.42631647361309233,-0.1937256843511015,-0.3728464502775816,-0.01460491842462136,0.0766941391941392,-0.1682421288177511,0.0269816751045856,-0.8231802675675349,0.7793234374024021,0.6596284737963889,0.8523
4,0.27820834816819795,0.48215948050973995,-0.39958784289949073,-0.8020683107268596,0.0028926249278781735,0.006868131868131868,-0.7181449541871937,-0.24117031439993386,-0.8813712899447502,0.9784595473109828,0.8180896442631016,0.862
5,0.4849598769148106,-1.189760539450643,-0.03831868752398471,-0.4729072390305936,0.3962698639826242,0.7969322344322345,-0.039507069912420686,0.0607407563024277,-0.8009978962367081,0.7794542342277134,0.6887856037796536,0.9069999999999999
6,1.0929656689694522,-1.288153138526551,-0.13322012149426565,-0.3986766620196781,0.1322364190311468,0.44574175824175827,-0.060944330309971095,0.08302663843848229,0.2464413681016929,0.615711815288792,0.5569716655158221,0.9072
7,0.6976487811601826,-2.9873730264825196,0.03835289169387668,-0.38327433747092743,0.4599801208586808,0.8463827838827839,0.027487249121324504,-0.012761391688213664,-2.324717026919864,0.5057065341409301,0.4778177098055464,0.9410999999999999
8,1.2525314660997446,0.21566414674008016,0.9975950535345952,0.5185263152000061,1.4766637918691843,0.00022893772893772894,0.3982315337118853,0.5855843427544147,0.09793482202245851,0.5626622607220176,0.48902196904041245,0.9373999999999999
9,0.805252790846767,-1.2330495734353735,0.5014438566177519,0.03234992413734017,0.9705377890981637,0.007783882783882784,0.3113580370770628,0.3881628394740715,-0.5886330013644888,0.4998753803291494,0.390506955183046,0.9411
10,1.1984859942902297,-1.3214848081224446,0.6123169522329786,0.20740659000023026,1.017227314465727,0.0009157509157509158,0.2554543629004219,0.3573542132642832,-0.5056682125943048,0.551454898993539,0.391043250657527,0.9400999999999999
11,1.357155406094618,-1.5041409118032858,0.638972895638058,0.06029766606426956,1.2176481252118465,0.0022893772893772895,0.2354088900831119,0.4657246950140521,-1.9391509114286853,0.4842576148685475,0.28553803584359533,0.9355
12,1.300221178778005,0.7708360921625751,1.0054597290756175,0.5766703008195762,1.434249157331659,0.0004578754578754579,0.38664949682660343,0.09258500733392139,-0.8137369398948292,0.3709382501316781,0.1931103631899283,0.9403
13,1.3647447528263523,1.0269038454522001,1.2055553640391206,0.9641823597930818,1.4469283682851595,0.00022893772893772894,0.44167796268952325,0.46281960513576376,-0.24926071617297693,0.4620287149489896,0.24730003813954282,0.9415
14,1.39129076097612,0.4247612488300805,1.237037458726689,0.9058483367498973,1.5682265807034808,0.00022893772893772894,0.4445646781477913,0.87998594895542,-0.1991673876363002,0.5488346095862304,0.3145482565589586,0.9315000000000001
15,1.2883210384089325,2.8321226161248463,1.3879788464728755,1.0078174621034661,1.7681402308422849,0.00022893772893772894,0.5386773968183504,0.6868041246939974,0.49487792365655203,0.6400061454235673,0.36180925801512454,0.9375
16,1.077538171495219,1.3351011679474933,1.2457483266997116,0.9018799824156848,1.5896166709837383,0.00022893772893772894,0.5780529913715632,0.7209824752051046,-0.32714403195907965,0.5160424209823951,0.29628514994368027,0.9815999999999999
17,1.2583163578392507,1.350007913180651,1.2890617275129814,1.000198928257848,1.5779245267681148,0.00022893772893772894,0.5122168679927701,0.7626405236507587,0.3466683569309149,0.6661308079834491,0.36572167274750805,0.9406
18,1.2998690625427889,0.9712665680361868,1.1612627258892654,0.9417713273041397,1.380754124474391,0.00022893772893772894,0.446684500521005,0.9662272339409946,0.34616972310025285,0.638911584773858,0.3686231243843206,0.9572
19,1.2777312135574508,1.1214425436102138,1.0681116110681017,0.8218071026079482,1.3144161195282553,0.00022893772893772894,0.41797194892589046,0.7270382273539295,0.8324720773440977,0.7074447835856958,0.3964927684590557,0.9786
20,1.0333296900245603,1.252406092191169,0.9838970191681915,0.716991152505457,1.2508028858309261,0.00022893772893772894,0.47608088138104604,0.6498738467368597,1.2544505213949684,0.6671541154077525,0.3744735777041711,0.9757
21,0.8703926044523741,0.9152788851420212,0.9331229409859685,0.5857167579885829,1.280529123983354,0.00022893772893772894,0.5360356557562105,0.3466202106556159,0.9429430316114471,0.6525561269778509,0.36548060764789636,0.9748
22,0.356839795376351,0.7564160087719226,0.7532845499319132,0.39929288390108464,1.1072762159627416,0.0004578754578754579,1.0554940335864735,0.14615437698237504,0.6288289902770924,0.644819147985912,0.35942106029960424,0.9791000000000001
23,0.3640735935339683,0.6541807861924963,0.8441051262845757,0.4324567401514531,1.2557535124176984,0.00022893772893772894,1.1592506862294865,0.3064492844741649,0.45585707716382035,0.658462009995092,0.3660911618643758,0.9782
24,0.7748192068762808,0.23657827496121217,0.9210313396050186,0.6137624685958993,1.2283002106141379,0.00022893772893772894,0.5943524188811727,0.600371139051944,0.4707216709021234,0.6910972718284588,0.3762249102962615,0.9848
25,-0.05953524336082021,0.12168688875044215,0.4646643945527321,0.04932953216507602,0.8799992569403883,0.0027472527472527475,,0.20403214182693757,0.23103326352987158,0.5914221910228646,0.28745248571425236,0.9906
