layer,condition,contrast,est,lo,hi,p_exact
0,assistant_next,harm_minus_neutral,-0.02777080109034442,-0.9226447046137636,0.8671031024330746,0.9207875457875457
0,assistant_next,suffer_minus_neutral,0.027399619582767723,-0.9333476866144395,0.9881469257799749,0.9523809523809523
0,assistant_next,harm_minus_suffer,-0.05517042067311215,-0.7280112335884688,0.6176703922422444,0.8191391941391941
0,user_next,harm_minus_neutral,-0.05671490817183078,-1.0227072147905272,0.9092773984468655,0.850503663003663
0,user_next,suffer_minus_neutral,-0.11370154594808524,-1.156600018250793,0.9291969263546225,0.8571428571428571
0,user_next,harm_minus_suffer,0.056986637776254456,-0.6822673830955021,0.796240658648011,0.8296703296703297
0,moderator_next,harm_minus_neutral,0.128017027370534,-0.6909888700863056,0.9470229248273736,0.6339285714285714
0,moderator_next,suffer_minus_neutral,0.15579451412399156,-0.7740031219128858,1.085592150160869,0.753968253968254
0,moderator_next,harm_minus_suffer,-0.027777486753457557,-0.7519685760495917,0.6964136025426765,0.915521978021978
1,assistant_next,harm_minus_neutral,0.35923314470830925,-0.380743646262108,1.0992099356787266,0.11881868131868131
1,assistant_next,suffer_minus_neutral,0.07796559665233752,-0.9960837915058648,1.1520149848105399,0.8571428571428571
1,assistant_next,harm_minus_suffer,0.28126754805597176,-0.7326192824980514,1.295154378609995,0.34134615384615385
1,user_next,harm_minus_neutral,0.34715801686784387,-0.34840864473167765,1.0427246784673654,0.13278388278388278
1,user_next,suffer_minus_neutral,0.08788734452436886,-1.0006554166004686,1.1764301056492064,0.8253968253968254
1,user_next,harm_minus_suffer,0.259270672343475,-0.788871648496531,1.307412993183481,0.40636446886446886
1,moderator_next,harm_minus_neutral,0.4811348800332475,-0.11629321511484475,1.0785629751813397,0.020604395604395604
1,moderator_next,suffer_minus_neutral,0.27518626220441705,-0.7168275582376071,1.2672000826464414,0.5238095238095238
1,moderator_next,harm_minus_suffer,0.20594861782883045,-0.7621632985834228,1.1740605342410837,0.475503663003663
2,assistant_next,harm_minus_neutral,0.019143186253184036,-0.7238634416748386,0.7621498141812066,0.926510989010989
2,assistant_next,suffer_minus_neutral,-0.34595945148248614,-1.31985090599053,0.6279320030255577,0.4523809523809524
2,assistant_next,harm_minus_suffer,0.36510263773567014,-0.5131111584840211,1.2433164339553615,0.13713369963369965
2,user_next,harm_minus_neutral,0.2380745365046678,-0.4556895622296395,0.9318386352389751,0.2516025641025641
2,user_next,suffer_minus_neutral,-0.2495124953050495,-1.2892871253646065,0.7902621347545077,0.6507936507936508
2,user_next,harm_minus_suffer,0.4875870318097173,-0.5071949330995434,1.4823689967189781,0.05357142857142857
2,moderator_next,harm_minus_neutral,0.20896320235678345,-0.3759851217701897,0.7939115264837566,0.2538919413919414
2,moderator_next,suffer_minus_neutral,-0.02305119978727177,-0.9355831019589034,0.8894807023843598,0.9365079365079365
2,moderator_next,harm_minus_suffer,0.23201440214405522,-0.6481706060096701,1.1121994102977806,0.37614468864468864
3,assistant_next,harm_minus_neutral,0.5840977241749059,0.0663254817184955,1.1018699666313163,0.008928571428571428
3,assistant_next,suffer_minus_neutral,-0.19730255629439153,-1.1854696655917498,0.7908645530029668,0.7142857142857143
3,assistant_next,harm_minus_suffer,0.7814002804692974,-0.19757755653610842,1.7603781174747033,0.007783882783882784
3,user_next,harm_minus_neutral,0.9629932106570669,0.38873384380755793,1.537252577506576,0.0013736263736263737
3,user_next,suffer_minus_neutral,0.05564162956872298,-1.196729589488309,1.308012848625755,0.9285714285714286
3,user_next,harm_minus_suffer,0.9073515810883439,-0.3442021645388138,2.1589053267155016,0.013507326007326008
3,moderator_next,harm_minus_neutral,0.6753791694304061,0.18155613954416427,1.169202199316648,0.005952380952380952
3,moderator_next,suffer_minus_neutral,0.12984413539596945,-0.8423907532684494,1.1020790240603882,0.7619047619047619
3,moderator_next,harm_minus_suffer,0.5455350340344366,-0.41811829908773446,1.5091883671566078,0.061813186813186816
4,assistant_next,harm_minus_neutral,0.7630888700591976,0.09139622193846408,1.434781518179931,0.0027472527472527475
4,assistant_next,suffer_minus_neutral,0.021566714035753165,-1.0669237302804735,1.1100571583519798,0.9761904761904762
4,assistant_next,harm_minus_suffer,0.7415221560234444,-0.31529639772598306,1.7983407097728719,0.01282051282051282
4,user_next,harm_minus_neutral,1.0604171824513107,-0.09725093269074203,2.2180852975933636,0.005036630036630037
4,user_next,suffer_minus_neutral,0.3545180860126107,-1.0203050780951624,1.7293412501203838,0.5238095238095238
4,user_next,harm_minus_suffer,0.7058990964387,-0.4370298507896151,1.848828043667015,0.04281135531135531
4,moderator_next,harm_minus_neutral,0.5985986380127486,0.030562619862133933,1.1666346561633634,0.010073260073260074
4,moderator_next,suffer_minus_neutral,0.15171774206325472,-0.7839778845705363,1.0874133686970457,0.6984126984126984
4,moderator_next,harm_minus_suffer,0.4468808959494939,-0.46087108206470995,1.3546328739636977,0.09684065934065934
5,assistant_next,harm_minus_neutral,0.5481521324145187,-0.1350955787172411,1.2313998435462783,0.020604395604395604
5,assistant_next,suffer_minus_neutral,-0.38779157527642405,-1.4661403567509623,0.6905572061981142,0.4444444444444444
