layer,condition,contrast,est,lo,hi,p_exact
0,assistant_next,harm_minus_neutral,0.7521054830130157,0.2311549260982061,1.2730560399278255,0.0006868131868131869
0,assistant_next,suffer_minus_neutral,0.7731870897808353,0.14146849508540527,1.4049056844762653,0.023809523809523808
0,assistant_next,harm_minus_suffer,-0.021081606767819644,-0.5533933445376654,0.5112301310020261,0.9063644688644689
0,user_next,harm_minus_neutral,0.6457431288570317,0.12715560761423728,1.164330650099826,0.0011446886446886447
0,user_next,suffer_minus_neutral,0.6652523994372037,0.042207569069364737,1.2882972298050426,0.05555555555555555
0,user_next,harm_minus_suffer,-0.01950927058017199,-0.5404076732755898,0.5013891321152457,0.9068223443223443
0,moderator_next,harm_minus_neutral,0.7282414612612917,0.19046531093143448,1.266017611591149,0.0006868131868131869
0,moderator_next,suffer_minus_neutral,0.7461325761588217,0.10111786772644948,1.3911472845911939,0.023809523809523808
0,moderator_next,harm_minus_suffer,-0.01789111489752987,-0.5565374693188074,0.5207552395237476,0.915521978021978
1,assistant_next,harm_minus_neutral,0.3725972188497557,-0.08362103015171407,0.8288154678512255,0.029304029304029304
1,assistant_next,suffer_minus_neutral,-0.3669643781807228,-1.2768962109685162,0.5429674546070707,0.40476190476190477
1,assistant_next,harm_minus_suffer,0.7395615970304785,-0.16790560660772846,1.6470288006686855,0.005494505494505495
1,user_next,harm_minus_neutral,0.3373951483788594,-0.14537920230387563,0.8201694990615944,0.08081501831501832
1,user_next,suffer_minus_neutral,-0.23707598999378102,-1.1899263581490616,0.7157743781614996,0.6190476190476191
1,user_next,harm_minus_suffer,0.5744711383726404,-0.37258541122150146,1.5215276879667823,0.03159340659340659
1,moderator_next,harm_minus_neutral,0.2435605938094596,-0.20107859301770792,0.6881997806366271,0.1614010989010989
1,moderator_next,suffer_minus_neutral,-0.22117361980588846,-1.0415305362599625,0.5991832966481855,0.5952380952380952
1,moderator_next,harm_minus_suffer,0.46473421361534806,-0.3446263429785189,1.274094770209215,0.052655677655677656
2,assistant_next,harm_minus_neutral,0.101386929199935,-0.35326874438232636,0.5560426027821964,0.5986721611721612
2,assistant_next,suffer_minus_neutral,-0.5332533967107064,-1.493372316538494,0.42686552311708115,0.19047619047619047
2,assistant_next,harm_minus_suffer,0.6346403259106415,-0.3214586969198515,1.5907393487411343,0.024496336996336996
2,user_next,harm_minus_neutral,0.24340182429477442,-0.18013854689666092,0.6669421954862098,0.23374542124542125
2,user_next,suffer_minus_neutral,-0.29127403907545846,-1.213609677302926,0.631061599152009,0.5476190476190477
2,user_next,harm_minus_suffer,0.5346758633702329,-0.38411819787317747,1.453469924613643,0.0641025641025641
2,moderator_next,harm_minus_neutral,0.17222566010774754,-0.23553259805839882,0.579983918273894,0.3115842490842491
2,moderator_next,suffer_minus_neutral,-0.15760073358052384,-0.883543067798014,0.5683416006369663,0.6349206349206349
2,moderator_next,harm_minus_suffer,0.3298263936882714,-0.3821440426668661,1.0417968300434088,0.1295787545787546
3,assistant_next,harm_minus_neutral,0.3801893609568065,0.009813767326094847,0.7505649545875182,0.04189560439560439
3,assistant_next,suffer_minus_neutral,-0.19554540212668836,-1.0226995909691503,0.6316087867157735,0.6825396825396826
3,assistant_next,harm_minus_suffer,0.5757347630834948,-0.24930963154687225,1.400779157713862,0.024725274725274724
3,user_next,harm_minus_neutral,0.5147840819122677,0.019951547410095694,1.0096166164144396,0.007554945054945055
3,user_next,suffer_minus_neutral,-0.25467636552232875,-1.0353950920550612,0.5260423610104036,0.5317460317460317
3,user_next,harm_minus_suffer,0.7694604474345964,0.018481806638974474,1.5204390882302183,0.0016025641025641025
3,moderator_next,harm_minus_neutral,0.5834975337660566,0.28892124965484695,0.8780738178772662,0.00022893772893772894
3,moderator_next,suffer_minus_neutral,0.034744445787147415,-0.4949967018003959,0.5644855933746907,0.8492063492063492
3,moderator_next,harm_minus_suffer,0.5487530879789093,0.028560674013354048,1.0689455019444645,0.00022893772893772894
4,assistant_next,harm_minus_neutral,0.6349771547207269,-0.17421434649112377,1.4441686559325775,0.014194139194139194
4,assistant_next,suffer_minus_neutral,0.35676880655252907,-0.6268173981343068,1.340355011239365,0.42063492063492064
4,assistant_next,harm_minus_suffer,0.27820834816819784,-0.5568400340820174,1.113256730418413,0.28525641025641024
4,user_next,harm_minus_neutral,-0.1476612943589376,-0.4875488253450065,0.19222623662713129,0.21611721611721613
4,user_next,suffer_minus_neutral,-0.8254574854266261,-1.3861835385585033,-0.26473143229474894,0.015873015873015872
4,user_next,harm_minus_suffer,0.6777961910676885,0.13319194529102918,1.2224004368443477,0.0006868131868131869
4,moderator_next,harm_minus_neutral,0.5936861942371086,0.17051922081231197,1.016853167661905,0.0006868131868131869
4,moderator_next,suffer_minus_neutral,0.07430753166897652,-0.7017458272200046,0.8503608905579576,0.7777777777777778
4,moderator_next,harm_minus_suffer,0.519378662568132,-0.2477817904241716,1.2865391155604358,0.020146520146520148
5,assistant_next,harm_minus_neutral,0.8059914116368938,0.3182405911285389,1.2937422321452487,0.00022893772893772894
5,assistant_next,suffer_minus_neutral,0.32103153472208323,-0.5061176748457769,1.1481807442899434,0.38095238095238093
5,assistant_next,harm_minus_suffer,0.4849598769148106,-0.3211534640465544,1.2910732178761757,0.040521978021978024
5,user_next,harm_minus_neutral,0.3177114239348813,0.09834844850382649,0.537074399365936,0.020375457875457876
5,user_next,suffer_minus_neutral,-0.2055671405039139,-0.6567738859304724,0.24563960492264464,0.30952380952380953
5,user_next,harm_minus_suffer,0.5232785644387952,0.07412229607076776,0.9724348328068226,0.0027472527472527475
5,moderator_next,harm_minus_neutral,0.7582071184377818,0.4669822386614107,1.049431998214153,0.00022893772893772894
5,moderator_next,suffer_minus_neutral,0.33398799782539923,-0.26169141183960487,0.9296674074904033,0.1984126984126984
5,moderator_next,harm_minus_suffer,0.42421912061238254,-0.16754009800049896,1.015978339225264,0.016025641025641024
